name,url
Institut Polytechnique de Paris,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2053cc6b-7d70-4ea9-aa4f-561bfdd972521"" "
Taiwan Tech Arena (TTA),"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ebcceb9d-097f-4ffd-b1a2-851d510478bb1"" "
Agorize,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/cdc5da27-28be-43b8-b936-cc8f77b9b80b1"" "
INRIA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/9a31cbcb-5343-4d53-baa3-44d25b6b610641"" "
Région Centre-Val de Loire,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0fd275ef-d0d3-4a45-af51-a39007272faa1"" "
HUAWEI,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/cbbb3779-44d1-41b7-916d-4a0bc01de8a741"" "
ERICSSON,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/698c415a-afdb-40c4-9445-1dace372583671"" "
Business France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2d6e1663-833f-4e0e-af15-3be94f1255a81"" "
Embassy of Brasil,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/33b4c21f-b54e-40ce-9aab-4319cf0822a441"" "
SCHOOLAB,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ca976080-e8c9-4c6b-b1a8-ea5139397f9d1"" "
Generation 2030,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/621df349-4a3b-4416-987e-335410ebe5991"" "
WAVESTONE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ab31c898-bf11-426b-838c-83b9f7f6500241"" "
